vehicle_no,GPSVendor,Model,Type,year_made,tail_lift,status,possession,admin_station_id,category_id,color_id,vehicle_owner_id,vehicle_group_id
BMY 6038,GUS,Daihatsu Gran Max S402RV-BMRFJG,Panel Van,2014,TRUE,A,JHB,351,15,16,4,41
BMY 6047,GUS,Daihatsu Gran Max S402RV-BMRFJG,Panel Van,2014,TRUE,A,MWT,446,15,16,4,71
BMY 6073,GUS,Daihatsu Gran Max S402RV-BMRFJG,Panel Van,2014,TRUE,A,KUL,406,15,16,4,60
BMY 6120,GUS,Daihatsu Gran Max S402RV-BMRFJG,Panel Van,2014,TRUE,A,KUL,406,15,16,4,60
BNA 207,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,JJR,353,20,16,4,43
BNA 231,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,BTG,320,20,16,4,18
BNA 251,GUS,Daihatsu Gran Max S402RV-BMRFJG,Panel Van,2014,TRUE,A,BYN,458,15,16,4,78
BNA 269,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,BRP,315,20,16,4,16
BNA 276,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,CRS,328,20,16,4,23
BNA 287,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,KKM,375,20,16,4,51
BNA 295,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,BRP,315,20,16,4,16
BNA 296,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,KKM,375,20,16,4,51
BNA 305,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,KAM,359,20,16,4,46
BNA 308,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,HQ OPS,464,20,16,4,79
BNA 4593,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,TKR,541,20,16,4,113
BNA 5049,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,DSP,332,20,16,4,25
BNB 1969,GUS,Toyota Hiace KDH200R-RBMDYEAC,Panel Van,2014,TRUE,A,FLT BUF 'B',NULL,15,16,4,28
BNB 1993,GUS,Toyota Hiace KDH200R-RBMDYEAC,Panel Van,2014,TRUE,A,BTG,320,15,16,4,18
BNB 2005,GUS,Toyota Hiace KDH200R-RBMDYEAC,Panel Van,2014,TRUE,A,AGH,280,15,16,4,1
BNB 3412,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,JJR,353,20,16,4,43
BNB 3413,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,PEN,458,20,16,4,78
BNB 493,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,GPA,343,20,16,4,29
BNB 498,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,DSP,332,20,16,4,25
BNB 6459,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,HQ OPS,462,20,16,4,36
BNB 6469,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,HQ OPS,462,20,16,4,36
BNC 449,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,BBU,294,20,16,4,8
BNC 453,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,BBU,294,20,16,4,8
BNC 457,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,BGI,302,20,16,4,9
BNC 462,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,PUC,483,20,16,4,87
BNC 467,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,SNW,517,20,16,4,104
BNC 470,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,KLU,382,20,16,4,55
BNE 1693,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,LGK,420,20,16,4,63
BNE 1700,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,KPG,392,20,16,4,57
BNE 1710,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,PUC,483,20,16,4,87
BNE 1713,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,JHB,351,20,16,4,41
BNE 1723,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,ISK,348,20,16,4,40
BNE 1730,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,RWG,493,20,16,4,90
BNE 1742,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,HQ OPS,462,20,16,4,36
BNE 1747,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,PEN,458,20,16,4,78
BNE 3214,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,MKZ,434,20,16,4,67
BNE 3217,GUS,Hino WU640R-HKMLL3,Box Truck,2014,TRUE,A,SPT,519,20,16,4,105
BNE 3234,GUS,Hino WU640R-HKMLL3,Box Truck,2014,TRUE,A,JHB,351,20,16,4,41
BNE 3237,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,KLG,378,20,16,4,53
BNE 3240,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,KLU,382,20,16,4,55
BNE 3243,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,BAN,292,20,16,4,7
BNE 3251,GUS,Hino WU640R-HKMLL3,Box Truck,2014,TRUE,A,NLI,449,20,16,4,73
BNE 3498,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,SPT,519,20,16,4,105
BNE 5939,GUS,Hino WU640R-HKMLL3,Box Truck,2014,TRUE,A,SKU,515,20,16,4,103
BNE 5954,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,TPG,545,20,16,4,114
BNE 6172,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,HQ OPS,462,20,16,4,36
BNE 6175,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,BMJ,310,20,16,4,12
BNE 6181,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,ULT,552,20,16,4,116
BNE 6184,GUS,Hino WU302R-HKMLHD3,Box Truck,2014,TRUE,A,SBI,494,20,16,4,92
BNE 8013,GUS,Isuzu NKR 55UEEH,Box Truck,2014,TRUE,A,SGB,505,20,16,4,99
BNP 5589,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,HQ OPS,462,20,16,5,36
BNP 5591,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,GPA,343,20,16,5,29
BNP 5606,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,JHB,351,20,16,5,41
BNP 5607,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,HQ OPS,462,20,16,5,36
BNP 5609,GUS,Hino WU302R-HKMLHD3,Box Truck,2015,TRUE,A,SKU,515,20,16,5,103
BNP 6701,GUS,Toyota Hiace KDH200R-RBMDYEJC,Panel Van,2015,TRUE,A,KUA,405,15,16,5,59
BNP 6711,GUS,Toyota Hiace KDH200R-RBMDYEJC,Panel Van,2015,TRUE,A,POI,472,15,16,5,83
BNP 6713,GUS,Toyota Hiace KDH200R-RBMDYEJC,Panel Van,2015,TRUE,A,FLT BUF 'B',NULL,15,16,5,28
BNP 6717,GUS,Toyota Hiace KDH200R-RBMDYEJC,Panel Van,2015,TRUE,A,GPA,343,15,16,5,29
BNP 6720,GUS,Toyota Hiace KDH200R-RBMDYEJC,Panel Van,2015,TRUE,A,PLS,470,15,16,5,81
BNP 6724,GUS,Toyota Hiace KDH200R-RBMDYEJC,Panel Van,2015,TRUE,A,PBR,455,15,16,5,76
BNP 6727,GUS,Toyota Hiace KDH200R-RBMDYEJC,Panel Van,2015,TRUE,A,KPG,392,15,16,5,57
BNP 6740,GUS,Toyota Hiace KDH200R-RBMDYEJC,Panel Van,2015,TRUE,A,PLS,470,15,16,5,81
BNP 6874,GUS,Toyota Hiace KDH200R-RBMDYEJC,Panel Van,2015,TRUE,A,MKZ,434,15,16,5,67
BNP 6901,GUS,Toyota Hiace KDH200R-RBMDYEJC,Panel Van,2015,TRUE,A,FLT BUF 'B',NULL,15,16,5,28
